,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
0,Sedan/Wagon,NSX,2022,Acura,Hybrid Electric,,,,,,21.0,22.0,21.0
1,Sedan/Wagon,A3 ,2022,Audi,Hybrid Electric,,,,,,29.0,38.0,32.0
2,Sedan/Wagon,A3 quattro,2022,Audi,Hybrid Electric,,,,,,28.0,36.0,31.0
3,Sedan/Wagon,A4 allroad quattro,2022,Audi,Hybrid Electric,,,,,,24.0,30.0,26.0
4,Sedan/Wagon,A4 quattro,2022,Audi,Hybrid Electric,,,,,,26.0,34.0,29.0
5,Sedan/Wagon,A4 S line quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0
6,Sedan/Wagon,A5 Cabriolet quattro,2022,Audi,Hybrid Electric,,,,,,23.0,31.0,26.0
7,Sedan/Wagon,A5 Coupe quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0
8,Sedan/Wagon,A5 Sportback quattro,2022,Audi,Hybrid Electric,,,,,,26.0,34.0,29.0
9,Sedan/Wagon,A5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,,,,24.0,31.0,27.0
10,Sedan/Wagon,A6 Allroad quattro,2022,Audi,Hybrid Electric,,,,,,21.0,28.0,23.0
11,Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,,,,21.0,30.0,24.0
12,Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,,,,23.0,33.0,26.0
13,Sedan/Wagon,A7 quattro,2022,Audi,Hybrid Electric,,,,,,21.0,30.0,24.0
14,Sedan/Wagon,A7 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,26.0,410.0,,,70.0,25.0,31.0,27.0
15,Sedan/Wagon,A8L quattro,2022,Audi,Hybrid Electric,,,,,,19.0,28.0,22.0
16,Sedan/Wagon,e-tron GT,2022,Audi,Electric,238.0,,81.0,83.0,82.0,,,
17,SUV,e-tron quattro,2022,Audi,Electric,222.0,,78.0,77.0,78.0,,,
18,SUV,"e-tron S (20"" wheels)",2022,Audi,Electric,208.0,,72.0,75.0,73.0,,,
19,SUV,"e-tron S (21"" or 22"" wheels)",2022,Audi,Electric,181.0,,62.0,64.0,63.0,,,
20,SUV,e-tron Sportback quattro,2022,Audi,Electric,218.0,,76.0,78.0,77.0,,,
21,SUV,"e-tron S Sportback (20"" wheels)",2022,Audi,Electric,212.0,,73.0,78.0,75.0,,,
22,SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022,Audi,Electric,185.0,,64.0,66.0,65.0,,,
