,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,CNG Dispenser Num,LPG Nozzle Types
5,81,CNG,public,GPS,42.37470554648246,-71.02654860574343,East Boston,MA,,,,,,4.0,
6,84,CNG,public,200-8,42.393167,-71.064352,Everett,MA,,,,,,1.0,
7,108,CNG,public,200-8,40.718037,-73.932309,Brooklyn,NY,,,,,,1.0,
8,112,CNG,public,200-8,40.64554,-73.918344,Brooklyn,NY,,,,,,1.0,
9,124,CNG,public,200-9,40.752903,-74.005831,New York,NY,,,,,,1.0,
10,125,CNG,public,200-8,40.729175,-73.97331,New York,NY,,,,,,1.0,
11,129,CNG,public,GPS,40.8441883,-73.8615724,Bronx,NY,,,,,,1.0,
12,130,CNG,public,200-9,40.979001,-73.693048,Rye,NY,,,,,,1.0,
13,132,CNG,public,200-8,40.769623,-73.843069,Queens,NY,,,,,,1.0,
16,248,CNG,public,200-9,41.736894,-72.660257,Hartford,CT,,,,,,2.0,
27,448,CNG,public,200-8,40.785664,-73.219818,Brentwood,NY,,,,,,1.0,
28,449,CNG,public,200-8,40.766799,-73.509603,Hicksville,NY,,,,,,1.0,
42,703,CNG,public,200-9,42.667569,-73.739345,Menands,NY,,,,,,2.0,
61,787,CNG,public,200-8,40.080572,-75.252389,Plymouth Meeting,PA,,,,,,1.0,
127,1252,CNG,private,200-9,40.72954,-73.6075,Garden City,NY,,,,,,,
187,7119,CNG,public,200-9,41.527246,-72.064419,Norwich,CT,,,,,,1.0,
210,12788,CNG,private,200-8,40.008558,-75.280726,Ardmore,PA,,,,,,,
230,13367,LPG,public,200-8,40.782618,-74.232109,West Orange,NJ,,,,,,,"[""ACME""]"
231,13401,LPG,public,200-9,41.651953,-74.672938,Monticello,NY,,,,,,,"[""ACME"", ""QUICK_CONNECT""]"
232,13444,LPG,public,GPS,42.8601082048398,-78.85922572883605,Buffalo,NY,,,,,,,"[""ACME""]"
233,13472,LPG,public,200-9,40.572305,-76.647804,Williamstown,PA,,,,,,,"[""ACME""]"
288,14889,LPG,public,GPS,41.7571537,-70.9465365,East Freetown,MA,,,,,,,"[""ACME""]"
340,18892,CNG,public,200-9,42.629512,-71.270846,Tewksbury,MA,,,,,,2.0,
341,18893,CNG,public,GPS,42.446147,-71.255103,Lexington,MA,,,,,,1.0,
342,18898,CNG,public,200-9,40.940028,-72.652774,Riverhead,NY,,,,,,1.0,
343,18900,CNG,public,200-8,40.648881,-73.707638,Valley Stream,NY,,,,,,1.0,
363,19158,LPG,public,200-9,42.181436,-72.578149,Chicopee,MA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
364,19160,LPG,public,200-9,42.11222,-72.711945,Westfield,MA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
365,19168,LPG,public,200-9,42.198516,-71.186058,Norwood,MA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
366,19171,LPG,public,200-9,42.246005,-70.938866,Weymouth,MA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
367,19173,LPG,public,GPS,41.665121,-70.301508,Hyannis,MA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
368,19175,LPG,public,200-9,41.66074,-70.941909,New Bedford,MA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
369,19176,LPG,public,GPS,41.9809283,-71.3303894,North Attleboro,MA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
370,19180,LPG,public,200-9,41.70186,-71.399194,Warwick,RI,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
372,19275,LPG,public,GPS,40.526297,-80.211333,Coraopolis,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
373,19276,LPG,public,200-9,40.516269,-79.954447,Glenshaw,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
374,19280,LPG,public,200-9,40.341375,-79.964158,Pleasant Hills,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
375,19281,LPG,public,200-9,40.516645,-80.004231,Pittsburgh,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
376,19282,LPG,public,200-9,40.199432,-80.205843,Washington,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
377,19287,LPG,public,200-9,42.153379,-79.989521,Erie,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
378,19288,LPG,public,GPS,40.499992,-78.389966,Altoona,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
379,19297,LPG,public,200-9,40.320352,-76.791595,Harrisburg,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
380,19302,LPG,public,200-9,41.243146,-76.994371,Williamsport,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
381,19307,LPG,public,GPS,40.625824,-75.433108,Allentown,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
382,19310,LPG,public,200-8,41.412464,-75.672469,Scranton,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
383,19327,LPG,public,200-8,39.957666,-75.218648,Philadelphia,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
384,19330,LPG,public,200-8,40.052496,-75.051064,Philadelphia,PA,,,,,,,"[""QUICK_CONNECT"", ""ACME""]"
657,20881,LPG,public,200-7,41.0283246232818,-75.32831652645872,Reeders,PA,,,,,,,"[""ACME""]"
660,20905,CNG,public,200-9,41.901602,-70.975499,Middleborough,MA,,,,,,1.0,
661,20908,CNG,private,200-8,40.19994,-80.003416,Finleyville,PA,,,,,,,
701,21435,CNG,private,200-9,43.169231,-77.661407,Rochester,NY,,,,,,,
809,23206,CNG,private,200-9,40.067935,-74.182404,Lakewood Township,NJ,,,,,,2.0,
810,23208,CNG,private,GPS,40.730667,-74.039876,Jersey City,NJ,,,,,,,
820,23459,CNG,private,200-9,44.444992,-73.204727,South Burlington,VT,,,,,,1.0,
841,24846,CNG,private,GPS,40.0427358,-75.3194549,Rosemont,PA,,,,,,,
849,25426,CNG,private,200-8,40.44652,-79.88617,Wilkinsburg,PA,,,,,,2.0,
1046,28252,BD,private,GPS,40.860392,-73.552931,Oyster Bay,NY,,,,,,,
1138,29571,BD,public,200-9,42.745934,-73.681895,Troy,NY,,,,,,,
1139,29591,E85,public,200-9,40.320439,-79.941912,Pittsburgh,PA,,,,,,,
1211,30261,E85,public,200-9,40.437695,-79.774261,Monroeville,PA,,,,,,,
1212,30262,E85,public,200-9,40.44772,-80.157405,Pittsburgh,PA,,,,,,,
1227,30355,CNG,public,200-9,42.139911,-71.21695,Walpole,MA,,,,,,1.0,
1292,30834,CNG,private,200-8,40.74099,-73.849958,Flushing,NY,,,,,,,
1496,32785,CNG,private,200-9,43.083477,-79.043775,Niagara Falls,NY,,,,,,,
1500,32837,CNG,private,200-9,40.850018,-73.878128,Bronx,NY,,,,,,,
1501,32838,CNG,private,200-8,40.838672,-73.877566,Bronx,NY,,,,,,,
1502,32839,CNG,private,200-8,40.661038,-73.864438,Brooklyn,NY,,,,,,,
1503,32840,CNG,private,GPS,40.6529,-74.0023,Brooklyn,NY,,,,,,3.0,
1528,32973,ELEC,public,GPS,44.469281,-73.154972,South Burlington,VT,,6.0,,J1772,Free,,
1543,33001,E85,public,200-9,40.692812,-73.464669,Massapequa,NY,,,,,,,
1550,33025,E85,public,200-9,42.78657,-73.99777,Schenectady,NY,,,,,,,
1638,33393,E85,public,200-9,41.039006,-73.865296,Irvington,NY,,,,,,,
1644,33404,E85,public,200-9,40.715264,-73.393473,Lindenhurst,NY,,,,,,,
1645,33414,BD,public,200-9,41.945281,-71.426814,Cumberland,RI,,,,,,,
1658,33486,LPG,public,GPS,42.5497889,-76.6744609,Trumansburg,NY,,,,,,,"[""ACME"", ""QUICK_CONNECT""]"
1659,33488,BD,public,200-8,40.721806,-74.258273,Maplewood,NJ,,,,,,,
1671,33538,CNG,private,200-8,40.773093,-73.839802,Flushing,NY,,,,,,,
1687,33620,BD,private,GPS,40.350011,-74.604169,Princeton,NJ,,,,,,,
1699,33676,E85,private,GPS,40.350011,-74.604169,Princeton,NJ,,,,,,,
1724,33799,E85,public,GPS,40.00178,-79.046458,Somerset,PA,,,,,,,
1725,33801,E85,public,GPS,40.0586825,-78.0817503,Waterfall,PA,,,,,,,
1743,33847,E85,private,200-8,42.629724,-73.776371,Albany,NY,,,,,,,
1744,33849,E85,public,200-9,41.23846,-73.701367,Bedford Hills,NY,,,,,,,
1745,33851,E85,private,200-9,43.090389,-76.094177,Syracuse,NY,,,,,,,
1746,33854,E85,private,200-8,41.509275,-74.06745,Newburgh,NY,,,,,,,
1775,33986,BD,private,200-8,40.931706,-73.766018,Larchmont,NY,,,,,,,
1776,33989,BD,private,200-8,41.101648,-73.952196,West Nyack,NY,,,,,,,
1785,34212,LPG,public,GPS,40.407344,-75.582789,Bally,PA,,,,,,,"[""ACME""]"
1786,34216,E85,public,200-9,41.194311,-73.880944,Croton-on-Hudson,NY,,,,,,,
1955,35055,CNG,public,200-9,44.461715,-73.215217,Burlington,VT,,,,,,2.0,
1957,35058,CNG,private,200-9,40.823429,-74.20904,Montclair,NJ,,,,,,,
1958,35060,CNG,private,200-8,40.808151,-73.902589,Bronx,NY,,,,,,,
1959,35062,CNG,private,GPS,40.59081575559057,-73.61398058095091,Point Lookout,NY,,,,,,,
1960,35063,CNG,private,200-8,40.755225,-73.357445,Wyandanch,NY,,,,,,,
1962,35065,CNG,private,200-9,40.033503,-75.321377,Bryn Mawr,PA,,,,,,,
1963,35066,CNG,private,200-9,40.761973,-77.8767,State College,PA,,,,,,,
1964,35067,CNG,private,200-9,39.95215,-75.591362,West Chester,PA,,,,,,2.0,
1988,35135,CNG,private,200-9,42.331874,-71.064222,Boston,MA,,,,,,,
1998,35203,E85,public,200-9,39.810352,-74.736957,Shamong,NJ,,,,,,,
2007,35227,CNG,private,200-9,40.23782,-74.73677,Trenton,NJ,,,,,,,
2020,35301,CNG,private,200-9,41.714291,-72.617841,Glastonbury,CT,,,,,,,
2023,35309,CNG,public,200-9,39.417088,-74.538731,Egg Harbor Township,NJ,,,,,,2.0,
2025,35317,CNG,public,200-8,42.861455,-78.800352,Buffalo,NY,,,,,,2.0,
2026,35318,CNG,public,200-8,40.800178,-72.921177,Yaphank,NY,,,,,,1.0,
2037,35430,E85,public,200-9,40.927328,-72.764756,Calverton,NY,,,,,,,
2038,35431,E85,public,200-9,41.146978,-73.933908,Congers,NY,,,,,,,
2039,35432,E85,public,200-9,40.915415,-72.348133,Water Mill,NY,,,,,,,
2076,35537,E85,public,200-9,40.754913,-74.228564,East Orange,NJ,,,,,,,
2079,35546,E85,public,GPS,40.63169,-80.055663,Wexford,PA,,,,,,,
2087,35562,ELEC,private,200-9,42.702424,-73.857693,Albany,NY,1.0,7.0,,J1772 NEMA520,Free,,
2089,35579,E85,public,200-9,40.691422,-73.477561,Massapequa,NY,,,,,,,
2107,35614,E85,public,200-9,40.882367,-73.220888,Kings Park,NY,,,,,,,
2108,35616,E85,public,200-9,39.866251,-79.745619,Uniontown,PA,,,,,,,
2151,35734,LPG,public,GPS,41.28868064529406,-72.67329693386841,Guilford,CT,,,,,,,"[""ACME"", ""QUICK_CONNECT""]"
2153,35768,LPG,public,200-9,40.791572,-80.095189,Zelienople,PA,,,,,,,"[""ACME""]"
2172,35822,E85,public,200-9,42.715671,-73.81201,Albany,NY,,,,,,,
2173,35824,E85,public,200-9,40.844044,-73.277126,Commack,NY,,,,,,,
2174,35825,E85,public,GPS,42.601571,-73.792571,Glenmont,NY,,,,,,,
2175,35828,E85,public,200-9,40.791371,-73.41706,Melville,NY,,,,,,,
2176,35832,E85,public,200-9,40.977334,-73.695826,Rye,NY,,,,,,,
2177,35835,E85,public,GPS,41.248483,-74.172356,Southfields,NY,,,,,,,
2186,35921,E85,public,200-9,40.76473,-73.022956,Patchogue,NY,,,,,,,
2190,35942,CNG,private,200-9,40.2097,-74.126084,Wall Township,NJ,,,,,,1.0,
2203,35983,E85,public,200-9,40.845379,-73.273087,Commack,NY,,,,,,,
2204,35985,E85,public,200-9,40.657774,-73.649095,Rockville Centre,NY,,,,,,,
2205,35986,E85,public,200-9,40.946992,-72.929752,Rocky Point,NY,,,,,,,
2211,36163,LPG,public,GPS,41.2831442,-74.933472,Dingmans Ferry,PA,,,,,,,"[""ACME"", ""QUICK_CONNECT""]"
2217,36296,CNG,public,200-9,41.810889,-72.708142,Bloomfield,CT,,,,,,2.0,
2218,36299,CNG,private,200-9,41.556621,-72.78944,Meriden,CT,,,,,,,
2219,36300,CNG,public,200-9,41.290827,-72.98485,West Haven,CT,,,,,,2.0,
2225,36309,CNG,public,200-9,39.410942,-74.53063,Egg Harbor Township,NJ,,,,,,4.0,
2226,36310,CNG,public,GPS,40.691831,-74.184861,Newark,NJ,,,,,,2.0,
2227,36311,CNG,public,200-9,40.453507,-80.085371,Pittsburgh,PA,,,,,,1.0,
2236,36327,E85,public,GPS,40.939222,-72.289942,Bridgehampton,NY,,,,,,,
2237,36328,E85,public,200-9,40.799926,-73.173583,Islandia,NY,,,,,,,
