,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State
1046,28252,BD,private,GPS,40.860392,-73.552931,Oyster Bay,NY
1138,29571,BD,public,200-9,42.745934,-73.681895,Troy,NY
1645,33414,BD,public,200-9,41.945281,-71.426814,Cumberland,RI
1659,33488,BD,public,200-8,40.721806,-74.258273,Maplewood,NJ
1687,33620,BD,private,GPS,40.350011,-74.604169,Princeton,NJ
1775,33986,BD,private,200-8,40.931706,-73.766018,Larchmont,NY
1776,33989,BD,private,200-8,41.101648,-73.952196,West Nyack,NY
2377,37615,BD,private,200-9,41.526802,-72.063684,Norwich,CT
2470,38561,BD,private,200-8,40.665994,-73.538672,Bellmore,NY
2471,38563,BD,private,200-8,40.858225,-73.386115,Greenlawn,NY
2472,38564,BD,private,200-8,40.766924,-72.997863,Patchogue,NY
2473,38565,BD,private,200-8,40.766992,-73.509655,Hicksville,NY
4782,48471,BD,private,GPS,40.868691,-72.873968,Upton,NY
4860,48893,BD,public,200-9,42.231607,-75.916744,Castle Creek,NY
5873,52970,BD,private,200-9,43.92808,-75.947296,Watertown,NY
5874,52972,BD,private,200-9,41.525557,-71.274952,Middletown,RI
5875,52974,BD,private,GPS,40.718053,-73.931508,Greenpoint,NY
5876,52975,BD,private,200-9,43.135479,-76.087402,Syracuse,NY
5877,52977,BD,private,200-8,43.239997,-77.57094,Rochester,NY
5878,52979,BD,private,GPS,40.7478941,-73.6403215,Roslyn,NY
5879,52983,BD,private,200-9,41.79183,-71.418156,Providence,RI
5943,53254,BD,public,200-8,44.547411,-72.616259,Morristown,VT
6681,61390,BD,public,200-9,41.717515,-70.484379,Sandwich,MA
6941,62291,BD,private,200-9,43.120818,-77.65186,Rochester,NY
8044,66410,BD,private,200-8,40.459446,-79.975508,Pittsburgh,PA
8843,70115,BD,private,200-9,40.456422,-79.905745,Pittsburgh,PA
21222,121471,BD,public,200-9,40.913803,-72.800416,Calverton,NY
49808,185103,BD,private,GPS,41.146561,-74.895157,Layton,NJ
49809,185104,BD,private,GPS,41.34574,-74.821528,Dingman's Ferry,PA
51220,187425,BD,private,GPS,39.99583,-77.631955,Chambersburg,PA
51242,187448,BD,private,GPS,40.02444,-74.6257,Fort Dix,NJ
51243,187449,BD,private,GPS,40.026469,-74.57562,McGuire AFB,NJ
56579,196608,BD,private,GPS,41.790431,-73.942425,Hyde Park,NY
56580,196609,BD,private,GPS,40.60391,-74.058548,Staten Island,NY
56581,196610,BD,private,GPS,43.018962,-73.645659,Stillwater,NY
60481,202987,BD,public,200-9,44.535854,-72.000411,Lyndonville,VT
