,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,CNG Dispenser Num
5,81,CNG,public,GPS,42.37470554648246,-71.02654860574343,East Boston,MA,4
6,84,CNG,public,200-8,42.393167,-71.064352,Everett,MA,1
7,108,CNG,public,200-8,40.718037,-73.932309,Brooklyn,NY,1
8,112,CNG,public,200-8,40.64554,-73.918344,Brooklyn,NY,1
9,124,CNG,public,200-9,40.752903,-74.005831,New York,NY,1
10,125,CNG,public,200-8,40.729175,-73.97331,New York,NY,1
11,129,CNG,public,GPS,40.8441883,-73.8615724,Bronx,NY,1
12,130,CNG,public,200-9,40.979001,-73.693048,Rye,NY,1
13,132,CNG,public,200-8,40.769623,-73.843069,Queens,NY,1
16,248,CNG,public,200-9,41.736894,-72.660257,Hartford,CT,2
27,448,CNG,public,200-8,40.785664,-73.219818,Brentwood,NY,1
28,449,CNG,public,200-8,40.766799,-73.509603,Hicksville,NY,1
42,703,CNG,public,200-9,42.667569,-73.739345,Menands,NY,2
61,787,CNG,public,200-8,40.080572,-75.252389,Plymouth Meeting,PA,1
127,1252,CNG,private,200-9,40.72954,-73.6075,Garden City,NY,-1
187,7119,CNG,public,200-9,41.527246,-72.064419,Norwich,CT,1
210,12788,CNG,private,200-8,40.008558,-75.280726,Ardmore,PA,-1
340,18892,CNG,public,200-9,42.629512,-71.270846,Tewksbury,MA,2
341,18893,CNG,public,GPS,42.446147,-71.255103,Lexington,MA,1
342,18898,CNG,public,200-9,40.940028,-72.652774,Riverhead,NY,1
343,18900,CNG,public,200-8,40.648881,-73.707638,Valley Stream,NY,1
660,20905,CNG,public,200-9,41.901602,-70.975499,Middleborough,MA,1
661,20908,CNG,private,200-8,40.19994,-80.003416,Finleyville,PA,-1
701,21435,CNG,private,200-9,43.169231,-77.661407,Rochester,NY,-1
809,23206,CNG,private,200-9,40.067935,-74.182404,Lakewood Township,NJ,2
810,23208,CNG,private,GPS,40.730667,-74.039876,Jersey City,NJ,-1
820,23459,CNG,private,200-9,44.444992,-73.204727,South Burlington,VT,1
841,24846,CNG,private,GPS,40.0427358,-75.3194549,Rosemont,PA,-1
849,25426,CNG,private,200-8,40.44652,-79.88617,Wilkinsburg,PA,2
1227,30355,CNG,public,200-9,42.139911,-71.21695,Walpole,MA,1
1292,30834,CNG,private,200-8,40.74099,-73.849958,Flushing,NY,-1
1496,32785,CNG,private,200-9,43.083477,-79.043775,Niagara Falls,NY,-1
1500,32837,CNG,private,200-9,40.850018,-73.878128,Bronx,NY,-1
