,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State
1139,29591,E85,public,200-9,40.320439,-79.941912,Pittsburgh,PA
1211,30261,E85,public,200-9,40.437695,-79.774261,Monroeville,PA
1212,30262,E85,public,200-9,40.44772,-80.157405,Pittsburgh,PA
1543,33001,E85,public,200-9,40.692812,-73.464669,Massapequa,NY
1550,33025,E85,public,200-9,42.78657,-73.99777,Schenectady,NY
1638,33393,E85,public,200-9,41.039006,-73.865296,Irvington,NY
1644,33404,E85,public,200-9,40.715264,-73.393473,Lindenhurst,NY
1699,33676,E85,private,GPS,40.350011,-74.604169,Princeton,NJ
1724,33799,E85,public,GPS,40.00178,-79.046458,Somerset,PA
1725,33801,E85,public,GPS,40.0586825,-78.0817503,Waterfall,PA
1743,33847,E85,private,200-8,42.629724,-73.776371,Albany,NY
1744,33849,E85,public,200-9,41.23846,-73.701367,Bedford Hills,NY
1745,33851,E85,private,200-9,43.090389,-76.094177,Syracuse,NY
1746,33854,E85,private,200-8,41.509275,-74.06745,Newburgh,NY
1786,34216,E85,public,200-9,41.194311,-73.880944,Croton-on-Hudson,NY
1998,35203,E85,public,200-9,39.810352,-74.736957,Shamong,NJ
2037,35430,E85,public,200-9,40.927328,-72.764756,Calverton,NY
2038,35431,E85,public,200-9,41.146978,-73.933908,Congers,NY
2039,35432,E85,public,200-9,40.915415,-72.348133,Water Mill,NY
2076,35537,E85,public,200-9,40.754913,-74.228564,East Orange,NJ
2079,35546,E85,public,GPS,40.63169,-80.055663,Wexford,PA
2089,35579,E85,public,200-9,40.691422,-73.477561,Massapequa,NY
2107,35614,E85,public,200-9,40.882367,-73.220888,Kings Park,NY
2108,35616,E85,public,200-9,39.866251,-79.745619,Uniontown,PA
2172,35822,E85,public,200-9,42.715671,-73.81201,Albany,NY
2173,35824,E85,public,200-9,40.844044,-73.277126,Commack,NY
2174,35825,E85,public,GPS,42.601571,-73.792571,Glenmont,NY
2175,35828,E85,public,200-9,40.791371,-73.41706,Melville,NY
2176,35832,E85,public,200-9,40.977334,-73.695826,Rye,NY
2177,35835,E85,public,GPS,41.248483,-74.172356,Southfields,NY
