,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,LPG Nozzle Types
230,13367,LPG,public,200-8,40.782618,-74.232109,West Orange,NJ,"[""ACME""]"
231,13401,LPG,public,200-9,41.651953,-74.672938,Monticello,NY,"[""ACME"", ""QUICK_CONNECT""]"
232,13444,LPG,public,GPS,42.8601082048398,-78.85922572883605,Buffalo,NY,"[""ACME""]"
233,13472,LPG,public,200-9,40.572305,-76.647804,Williamstown,PA,"[""ACME""]"
288,14889,LPG,public,GPS,41.7571537,-70.9465365,East Freetown,MA,"[""ACME""]"
363,19158,LPG,public,200-9,42.181436,-72.578149,Chicopee,MA,"[""QUICK_CONNECT"", ""ACME""]"
364,19160,LPG,public,200-9,42.11222,-72.711945,Westfield,MA,"[""QUICK_CONNECT"", ""ACME""]"
365,19168,LPG,public,200-9,42.198516,-71.186058,Norwood,MA,"[""QUICK_CONNECT"", ""ACME""]"
366,19171,LPG,public,200-9,42.246005,-70.938866,Weymouth,MA,"[""QUICK_CONNECT"", ""ACME""]"
367,19173,LPG,public,GPS,41.665121,-70.301508,Hyannis,MA,"[""QUICK_CONNECT"", ""ACME""]"
368,19175,LPG,public,200-9,41.66074,-70.941909,New Bedford,MA,"[""QUICK_CONNECT"", ""ACME""]"
369,19176,LPG,public,GPS,41.9809283,-71.3303894,North Attleboro,MA,"[""QUICK_CONNECT"", ""ACME""]"
370,19180,LPG,public,200-9,41.70186,-71.399194,Warwick,RI,"[""QUICK_CONNECT"", ""ACME""]"
372,19275,LPG,public,GPS,40.526297,-80.211333,Coraopolis,PA,"[""QUICK_CONNECT"", ""ACME""]"
373,19276,LPG,public,200-9,40.516269,-79.954447,Glenshaw,PA,"[""QUICK_CONNECT"", ""ACME""]"
374,19280,LPG,public,200-9,40.341375,-79.964158,Pleasant Hills,PA,"[""QUICK_CONNECT"", ""ACME""]"
375,19281,LPG,public,200-9,40.516645,-80.004231,Pittsburgh,PA,"[""QUICK_CONNECT"", ""ACME""]"
376,19282,LPG,public,200-9,40.199432,-80.205843,Washington,PA,"[""QUICK_CONNECT"", ""ACME""]"
377,19287,LPG,public,200-9,42.153379,-79.989521,Erie,PA,"[""QUICK_CONNECT"", ""ACME""]"
378,19288,LPG,public,GPS,40.499992,-78.389966,Altoona,PA,"[""QUICK_CONNECT"", ""ACME""]"
379,19297,LPG,public,200-9,40.320352,-76.791595,Harrisburg,PA,"[""QUICK_CONNECT"", ""ACME""]"
380,19302,LPG,public,200-9,41.243146,-76.994371,Williamsport,PA,"[""QUICK_CONNECT"", ""ACME""]"
381,19307,LPG,public,GPS,40.625824,-75.433108,Allentown,PA,"[""QUICK_CONNECT"", ""ACME""]"
382,19310,LPG,public,200-8,41.412464,-75.672469,Scranton,PA,"[""QUICK_CONNECT"", ""ACME""]"
383,19327,LPG,public,200-8,39.957666,-75.218648,Philadelphia,PA,"[""QUICK_CONNECT"", ""ACME""]"
384,19330,LPG,public,200-8,40.052496,-75.051064,Philadelphia,PA,"[""QUICK_CONNECT"", ""ACME""]"
657,20881,LPG,public,200-7,41.0283246232818,-75.32831652645872,Reeders,PA,"[""ACME""]"
1658,33486,LPG,public,GPS,42.5497889,-76.6744609,Trumansburg,NY,"[""ACME"", ""QUICK_CONNECT""]"
1785,34212,LPG,public,GPS,40.407344,-75.582789,Bally,PA,"[""ACME""]"
2151,35734,LPG,public,GPS,41.28868064529406,-72.67329693386841,Guilford,CT,"[""ACME"", ""QUICK_CONNECT""]"
2153,35768,LPG,public,200-9,40.791572,-80.095189,Zelienople,PA,"[""ACME""]"
2211,36163,LPG,public,GPS,41.2831442,-74.933472,Dingmans Ferry,PA,"[""ACME"", ""QUICK_CONNECT""]"
4852,48749,LPG,public,200-9,41.398261,-73.44976,Danbury,CT,"[""ACME""]"
5249,50098,LPG,public,200-8,41.397445,-74.384605,New Hampton,NY,"[""ACME"", ""QUICK_CONNECT""]"
5250,50099,LPG,public,GPS,41.17288847979592,-79.34168206162417,Clarion,PA,"[""ACME""]"
5486,51126,LPG,public,200-9,41.771445,-74.313151,Kerhonkson,NY,"[""ACME"", ""QUICK_CONNECT""]"
5845,52871,LPG,public,200-9,42.603512,-71.344342,Chelmsford,MA,"[""ACME""]"
6057,53483,LPG,public,200-9,40.087252,-76.095113,New Holland,PA,"[""ACME"", ""QUICK_CONNECT""]"
6401,60270,LPG,public,200-8,42.316373,-76.909097,Watkins Glen,NY,"[""ACME"", ""QUICK_CONNECT""]"
6832,61907,LPG,public,200-9,43.0443,-77.659377,West Henrietta,NY,"[""ACME"", ""QUICK_CONNECT""]"
7246,63315,LPG,public,200-9,41.845605,-69.983464,Eastham,MA,"[""ACME""]"
7623,64421,LPG,public,200-9,41.824591,-72.609124,South Windsor,CT,"[""ACME"", ""QUICK_CONNECT""]"
7624,64424,LPG,public,200-9,42.729631,-71.136908,Methuen,MA,"[""ACME""]"
8095,66560,LPG,public,200-9,41.5647,-75.252673,Honesdale,PA,"[""ACME""]"
8148,66870,LPG,public,200-9,42.200689,-71.187782,Norwood,MA,"[""ACME""]"
8214,67058,LPG,public,200-9,40.494173,-80.267199,Pittsburgh,PA,"[""ACME""]"
8315,67471,LPG,public,200-9,43.125565,-76.107338,North Syracuse,NY,"[""QUICK_CONNECT"", ""ACME""]"
8337,67546,LPG,public,200-8,43.051679,-76.124668,Syracuse,NY,"[""QUICK_CONNECT"", ""ACME""]"
8339,67569,LPG,public,200-9,42.749852,-73.867904,Albany,NY,"[""QUICK_CONNECT"", ""ACME""]"
8346,67594,LPG,public,GPS,42.15063,-76.833014,Elmira Heights,NY,"[""QUICK_CONNECT"", ""ACME""]"
8352,67609,LPG,public,GPS,43.186095,-77.702153,Greece,NY,"[""QUICK_CONNECT"", ""ACME""]"
8353,67612,LPG,public,200-8,41.357921,-72.926588,Hamden,CT,"[""QUICK_CONNECT"", ""ACME""]"
8356,67625,LPG,public,GPS,43.201343,-77.567113,Irondequoit,NY,"[""QUICK_CONNECT"", ""ACME""]"
8446,68060,LPG,public,GPS,42.3286448,-71.0687492,Boston,MA,"[""QUICK_CONNECT"", ""ACME""]"
8447,68063,LPG,public,200-9,42.457633,-70.946015,Lynn,MA,"[""QUICK_CONNECT"", ""ACME""]"
8448,68064,LPG,public,200-9,42.344351,-72.642517,Northampton,MA,"[""QUICK_CONNECT"", ""ACME""]"
8449,68067,LPG,public,200-9,42.379624,-71.088251,Somerville,MA,"[""QUICK_CONNECT"", ""ACME""]"
8450,68069,LPG,public,200-9,41.904537,-71.065049,Taunton,MA,"[""QUICK_CONNECT"", ""ACME""]"
8451,68071,LPG,public,200-9,42.538069,-71.161714,Wilmington,MA,"[""QUICK_CONNECT"", ""ACME""]"
8453,68074,LPG,public,200-9,40.00532,-74.98071,Cinnaminson,NJ,"[""QUICK_CONNECT"", ""ACME""]"
8454,68075,LPG,public,200-9,39.423186,-74.500341,Absecon,NJ,"[""QUICK_CONNECT"", ""ACME""]"
8455,68080,LPG,public,200-9,40.396236,-74.108034,Middletown,NJ,"[""QUICK_CONNECT"", ""ACME""]"
8456,68081,LPG,public,200-8,40.656882,-74.400244,Scotch Plains,NJ,"[""QUICK_CONNECT"", ""ACME""]"
8732,69628,LPG,public,200-9,40.068786,-74.946111,Bensalem,PA,"[""QUICK_CONNECT"", ""ACME""]"
8733,69631,LPG,public,200-9,40.221365,-77.161282,Carlisle,PA,"[""QUICK_CONNECT"", ""ACME""]"
8734,69632,LPG,public,200-8,39.870604,-75.332836,Crum Lynne,PA,"[""QUICK_CONNECT"", ""ACME""]"
8735,69633,LPG,public,200-9,40.688427,-75.252201,Easton,PA,"[""QUICK_CONNECT"", ""ACME""]"
