,station_id,acces_code,latitude,longitude,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_connector_types,ev_pricing
1528,32973,public,44.469281,-73.154972,South Burlington,VT,0,6,-1,J1772,Free
2087,35562,private,42.702424,-73.857693,Albany,NY,1,7,-1,J1772 NEMA520,Free
2248,36368,public,40.286518,-74.807516,Ewing,NJ,0,1,-1,J1772,Free
2332,36923,public,41.157925,-73.240315,Fairfield,CT,0,2,-1,J1772,Free
2333,36924,public,41.305794,-72.927405,New Haven,CT,2,2,-1,J1772 NEMA520,Free
2334,36925,public,41.305265,-72.934141,New Haven,CT,0,5,-1,J1772,Free
2335,36926,public,41.304245,-72.928369,New Haven,CT,0,3,-1,J1772,Free
2336,36928,public,41.355486,-72.093784,New London,CT,2,4,-1,J1772 NEMA520,Free
2337,36931,public,41.119291,-73.369266,Westport,CT,1,1,-1,J1772 NEMA520,Free
2338,36932,public,41.951328,-72.663078,Suffield,CT,0,2,-1,J1772,Free
2399,37679,private,41.770428,-72.687141,Hartford,CT,0,2,-1,J1772,-1
2400,37681,private,41.879631,-72.729919,Windsor,CT,0,3,-1,J1772,-1
2403,37813,public,42.36262,-72.5395,Hadley,MA,0,1,-1,J1772,Free
2424,38096,private,41.765253,-72.671569,Hartford,CT,0,2,-1,J1772,-1
2425,38254,public,42.349249,-71.041557,Boston,MA,0,2,-1,J1772,-1
2469,38525,public,42.372442,-71.122882,Cambridge,MA,1,4,-1,J1772 NEMA515,Free
2873,40572,public,41.997588,-72.583384,Enfield,CT,0,1,-1,J1772,Free
2898,40697,public,40.397876,-75.588988,Bally,PA,0,2,-1,J1772,Free
2913,40811,private,42.677227,-70.839264,Ipswich,MA,0,1,-1,J1772,-1
2943,41049,private,40.453507,-80.085371,Pittsburgh,PA,0,1,-1,J1772,-1
2955,41127,public,42.562222,-70.88959,Beverly,MA,0,2,-1,J1772,Free
2977,41240,private,40.867403,-73.906405,Bronx,NY,0,2,-1,J1772,$0.13 per kWh
3043,41849,public,40.350118,-74.662732,Princeton,NJ,0,2,-1,J1772,-1
3058,42016,public,41.96108,-71.494611,North Smithfield,RI,0,1,1,CHADEMO J1772 J1772COMBO,Free
3060,42043,private,41.071157,-73.549133,Stamford,CT,0,1,-1,J1772,-1
3079,42169,public,42.232376,-71.019877,Quincy,MA,0,2,-1,J1772,-1
3098,42404,public,40.632138,-80.054285,Wexford,PA,0,1,-1,J1772,-1
3099,42423,public,41.823099,-71.347614,East Providence,RI,0,6,-1,J1772,Free
3145,42689,private,41.526802,-72.063684,Norwich,CT,0,4,-1,J1772,-1
3155,42888,public,41.742755,-71.428289,Warwick,RI,0,1,-1,J1772,Free
3156,42907,public,40.663848,-74.216585,Elizabeth,NJ,0,2,-1,J1772,Free
3159,42966,public,40.492883,-80.200182,Moon,PA,0,2,-1,J1772,-1
3163,43090,public,43.199508,-72.820633,South Londonderry,VT,0,1,-1,J1772,Free
3168,43178,public,42.525121,-71.713346,Leominster,MA,0,2,-1,J1772,-1
3169,43182,public,42.5703,-71.41896,Westford,MA,0,2,-1,J1772,-1
3170,43186,public,42.260546,-71.794678,Worcester,MA,0,2,-1,J1772,-1
3182,43260,public,39.934849,-75.029991,Cherry Hill,NJ,0,2,-1,J1772,-1
3214,43616,public,41.811817,-72.261825,Storrs,CT,0,1,-1,J1772,Free
3286,43760,private,41.742755,-71.428289,Warwick,RI,0,1,-1,J1772,Free
