,name,measure,measure_info,place,data_value,year
2,Nitrogen dioxide (NO2),Mean,ppb,East New York,19.09,2015
28,Nitrogen dioxide (NO2),Mean,ppb,East New York,13.39,2017
29,Nitrogen dioxide (NO2),Mean,ppb,East New York,11.97,2018
64,Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.8,2013
119,Nitrogen dioxide (NO2),Mean,ppb,East New York,30.26,2010
120,Nitrogen dioxide (NO2),Mean,ppb,East New York,24.99,2014
121,Nitrogen dioxide (NO2),Mean,ppb,East New York,16.12,2021
132,Nitrogen dioxide (NO2),Mean,ppb,Bronx,13.62,2018
133,Nitrogen dioxide (NO2),Mean,ppb,Bronx,13.16,2020
134,Nitrogen dioxide (NO2),Mean,ppb,Bronx,24.39,2009
135,Nitrogen dioxide (NO2),Mean,ppb,Bronx,14.97,2017
168,Nitrogen dioxide (NO2),Mean,ppb,East New York,19.75,2013
181,Nitrogen dioxide (NO2),Mean,ppb,East New York,14.16,2014
351,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,25.18,2015
352,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,20.54,2020
374,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,30.87,2009
375,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,28.69,2014
1203,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,28.62,2017
1218,Nitrogen dioxide (NO2),Mean,ppb,Bronx,25.87,2013
1229,Nitrogen dioxide (NO2),Mean,ppb,Bronx,13.14,2019
1260,Nitrogen dioxide (NO2),Mean,ppb,East New York,25.3,2012
1266,Nitrogen dioxide (NO2),Mean,ppb,East New York,20.67,2011
1997,Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.42,2010
3284,Nitrogen dioxide (NO2),Mean,ppb,East New York,16.61,2012
3285,Nitrogen dioxide (NO2),Mean,ppb,East New York,16.61,2013
3308,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,24.71,2013
3309,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,16.37,2021
3664,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,31.61,2012
3883,Nitrogen dioxide (NO2),Mean,ppb,East New York,30.02,2008
4312,Nitrogen dioxide (NO2),Mean,ppb,East New York,13.88,2015
4839,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,26.7,2013
8068,Nitrogen dioxide (NO2),Mean,ppb,East New York,20.19,2012
8162,Nitrogen dioxide (NO2),Mean,ppb,East New York,19.51,2009
9821,Nitrogen dioxide (NO2),Mean,ppb,East New York,17.56,2018
9822,Nitrogen dioxide (NO2),Mean,ppb,East New York,10.79,2021
9834,Nitrogen dioxide (NO2),Mean,ppb,East New York,18.31,2017
10540,Nitrogen dioxide (NO2),Mean,ppb,East New York,26.84,2009
10541,Nitrogen dioxide (NO2),Mean,ppb,East New York,24.24,2011
10549,Nitrogen dioxide (NO2),Mean,ppb,East New York,18.06,2011
10550,Nitrogen dioxide (NO2),Mean,ppb,East New York,18.11,2010
11551,Nitrogen dioxide (NO2),Mean,ppb,Bronx,23.48,2011
11660,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,30.21,2011
11673,Nitrogen dioxide (NO2),Mean,ppb,East New York,22.49,2009
11674,Nitrogen dioxide (NO2),Mean,ppb,East New York,22.24,2020
11675,Nitrogen dioxide (NO2),Mean,ppb,East New York,13.07,2016
11676,Nitrogen dioxide (NO2),Mean,ppb,East New York,23.34,2015
11746,Nitrogen dioxide (NO2),Mean,ppb,Bronx,20.83,2009
12000,Nitrogen dioxide (NO2),Mean,ppb,East New York,15.74,2020
12001,Nitrogen dioxide (NO2),Mean,ppb,East New York,21.57,2018
12138,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,28.52,2010
12139,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,27.72,2011
12149,Nitrogen dioxide (NO2),Mean,ppb,Bronx,18.31,2011
12158,Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.35,2017
12159,Nitrogen dioxide (NO2),Mean,ppb,Bronx,23.92,2014
12163,Nitrogen dioxide (NO2),Mean,ppb,Bronx,28.19,2010
12291,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,28.02,2012
12292,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,24.55,2017
12293,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,35.38,2010
12294,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,19.97,2021
12304,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,29.74,2016
12965,Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.86,2012
12966,Nitrogen dioxide (NO2),Mean,ppb,Bronx,16.54,2021
12971,Nitrogen dioxide (NO2),Mean,ppb,Bronx,20.99,2011
12978,Nitrogen dioxide (NO2),Mean,ppb,Bronx,22.28,2015
12992,Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.92,2020
12993,Nitrogen dioxide (NO2),Mean,ppb,Bronx,14.92,2016
13078,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,21.33,2017
13079,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,19.67,2018
13118,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,38.35,2008
13153,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,28.74,2011
13156,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,27.51,2015
13157,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,20.56,2016
13166,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,23.67,2020
13167,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,32.17,2009
13168,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,15.97,2020
13269,Nitrogen dioxide (NO2),Mean,ppb,Bronx,26.37,2016
13416,Nitrogen dioxide (NO2),Mean,ppb,Bronx,22.16,2009
13422,Nitrogen dioxide (NO2),Mean,ppb,Bronx,23.04,2019
13452,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,21.25,2015
13453,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,30.58,2009
13454,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,19.7,2019
13467,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,29.31,2019
13569,Nitrogen dioxide (NO2),Mean,ppb,Bronx,15.96,2015
13570,Nitrogen dioxide (NO2),Mean,ppb,Bronx,24.03,2012
13577,Nitrogen dioxide (NO2),Mean,ppb,Bronx,17.02,2012
13578,Nitrogen dioxide (NO2),Mean,ppb,Bronx,18.42,2015
13587,Nitrogen dioxide (NO2),Mean,ppb,Bronx,17.73,2018
13588,Nitrogen dioxide (NO2),Mean,ppb,Bronx,15.91,2013
13592,Nitrogen dioxide (NO2),Mean,ppb,Bronx,12.83,2021
13604,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,23.43,2018
13623,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,24.35,2015
13624,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,25.83,2012
13719,Nitrogen dioxide (NO2),Mean,ppb,Bronx,22.73,2010
13720,Nitrogen dioxide (NO2),Mean,ppb,Bronx,17.1,2020
13721,Nitrogen dioxide (NO2),Mean,ppb,Bronx,24.52,2008
13781,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,30.96,2010
13786,Nitrogen dioxide (NO2),Mean,ppb,East New York,10.42,2020
13906,Nitrogen dioxide (NO2),Mean,ppb,East New York,24.86,2016
13915,Nitrogen dioxide (NO2),Mean,ppb,East New York,18.26,2015
14297,Nitrogen dioxide (NO2),Mean,ppb,East New York,11.97,2019
14298,Nitrogen dioxide (NO2),Mean,ppb,East New York,25.5,2019
14642,Nitrogen dioxide (NO2),Mean,ppb,East New York,23.9,2008
14643,Nitrogen dioxide (NO2),Mean,ppb,East New York,22.9,2010
14711,Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.97,2015
14743,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,26.02,2018
15230,Nitrogen dioxide (NO2),Mean,ppb,Bronx,15.75,2014
15231,Nitrogen dioxide (NO2),Mean,ppb,Bronx,20.89,2018
15268,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,33.89,2008
15269,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,22.69,2014
15270,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,32.41,2013
15285,Nitrogen dioxide (NO2),Mean,ppb,Manhattan,21.71,2019
15329,Nitrogen dioxide (NO2),Mean,ppb,Bronx,23.57,2017
15330,Nitrogen dioxide (NO2),Mean,ppb,Bronx,16.01,2019
15334,Nitrogen dioxide (NO2),Mean,ppb,Bronx,29.29,2008
15363,Nitrogen dioxide (NO2),Mean,ppb,East New York,15.81,2019
15364,Nitrogen dioxide (NO2),Mean,ppb,East New York,27.88,2013
15372,Nitrogen dioxide (NO2),Mean,ppb,East New York,24.54,2017
